name,gender,height,weight,country_id
Amaliya Sharoyan,female,1.70,56
Aman Wote,male,1.83,68
Amanda Araujo,female,1.62,54
Amanda Carr,female,1.65,60
Amanda Dlamini,female,1.64,61
Amanda Elmore,female,1.81,79
Amanda Ilestedt,female,1.78,65
Amanda Kurtovic,female,1.75,
Amanda Ng,female,1.70,68
Amanda Oliveira,female,1.69,58
Amanda Polk,female,1.81,83
Amanda Simeao,female,1.66,62
Amanda Spratt,female,1.61,55
Amanda Weir,female,1.88,77
Amandine Henry,female,1.71,64
Amandine Leynaud,female,1.78,64
Amandine Lhote,female,1.68,64
Amanmurad Hommadov,male,1.90,117
Amanuel Mesel,male,1.77,59
Amar Music,male,1.70,85
Amarhajy Mahamedau,male,1.84,88
Amas Daniel,male,1.65,65
Amber Campbell,female,1.71,90
Amber Hearn,female,1.73,66
Amber Hill,female,1.58,52
Ambroise Uwiragiye,male,,
Ameen Zakkar,male,1.95,100
Ameer Webb,male,1.81,82
Amel Bouderra,female,1.63,
Amel Majri,female,1.64,54
Amel Tuka,male,1.87,77
Amela Terzic,female,1.69,54
Amelia Belotti,female,1.80,73
Amelia Cozad,female,1.61,51
Amelia Gibson,female,1.72,71
Amelia Rosa Fournel,female,1.60,50
Amelie Kretz,female,1.68,53
Amer Hrustanovic,male,1.80,91
Ami Kondo,female,1.56,48
Amidou Mir,male,1.73,78
Amie Thompson,female,1.67,58
Amina Bettiche,female,1.65,55
Amina Kajtaz,female,1.73,62
Amina Rouba,female,1.73,60
Aminat Oluwafunmilayo Adeniyi,female,1.65,58
Aminath Shajan,female,,
Amine Bannour,male,1.96,102
Amine Belferar,male,1.75,65
Amini Tuitavake Fonua,male,1.86,80
Aminu Umar,male,1.72,
Amir Ghafour,male,2.02,90
Amiran Papinashvili,male,1.62,64
Amit Ivry,female,1.70,65
Amjed Attwan,male,1.80,72
Ammar Abdulhussein,male,1.80,76
Ammara Pinto,female,1.63,61
Amna Bakhit,female,1.75,59
Amnat Ruenroeng,male,1.64,
Amor Ben Yahia,male,1.76,63
Amro Elgeziry,male,1.85,75
Amy Cragg,female,1.63,45
Amy Cure,female,1.72,63
Amy Millar,female,1.83,59
Amy Sene,female,1.75,80
Amy Tinkler,female,1.52,47
Amy Turner,female,1.68,64
Amy Wilson Hardy,female,1.67,69
An-Li Kachelhoffer,female,1.60,50
Ana Beatriz Bulcao,female,1.67,58
Ana Cabecinha,female,1.63,48
Ana Claudia Silva,female,1.58,56
Ana Dabovic,female,1.83,70
Ana Derek,female,1.64,58
Ana Dulce Felix,female,1.66,53
Ana Gallay,female,1.73,66
Ana Iulia Dascal,female,1.83,60
Ana Ivanovic,female,1.77,63
Ana Jose Tima,female,1.68,56
Ana Konjuh,female,1.74,73
Ana Luiza Barbachan,female,1.71,68
Ana Luiza Filiorianu,female,1.64,42
Ana Marcela Cunha,female,1.65,66
Ana Maria Popescu,female,1.75,64
Ana Maria Rendon,female,1.60,63
Ana Paula Belo,female,1.72,67
Ana Paula Vergutz,female,1.76,71
Ana Perez,female,1.51,45
Ana Ramirez,female,1.68,69
Ana Rente,female,1.58,53
Ana Roqica,female,1.62,55
Ana Sanabria,female,1.56,51
Ana Satila,female,1.63,58
Ana Simic,female,1.78,57
Ana Sofia Gomez,female,1.56,46
Ana Sofia Nobrega,female,1.74,70
Ana Veronica Rodean,female,1.70,55
Ana Zaninovic,female,1.72,55
Ana-Roxana Lehaci,female,1.72,64
Anabel Medina Garrigues,female,1.69,59
Anabelle Smith,female,1.68,55
Anamari Velensek,female,1.78,78
Anamaria Ionita,female,1.75,60
Anas Beshr,male,,
Anaso Jobodwana,male,1.87,71
Anass Ait El Abdia,male,1.80,66
Anass Houssein,male,1.75,66
Anastasia Abrosimova,female,1.64,51
Anastasia Bliznyuk,female,1.73,51
Anastasia Bogdanovski,female,1.74,57
Anastasia Gloushkov Leventhal,female,1.65,53
Anastasia Pavlova,female,1.72,53
Anastasia Pavlyuchenkova,female,1.77,75
Anastasia Rodionova,female,,
Anastasia Shlyakhovaya,female,1.92,69
Anastasia Simanovich,female,1.74,69
Anastasiia Baryshnikova,female,1.73,67
Anastasiia Beliakova,female,1.73,
Anastasiia Fesikova,female,1.82,71
Anastasiia Hotfrid,female,1.69,87
Anastasiia Kozhenkova,female,1.86,75
Anastasiia Krapivina,female,1.70,56
Anastasiia Lysenko,female,1.76,101
Anastasiia Maksimova,female,1.70,50
Anastasiia Nedobiga,female,1.62,50
Anastasiia Tatareva,female,1.65,44
Anastasiia Todorova,female,1.68,69
Anastasiia Voinova,female,1.62,62
Anastasija Grigorjeva,female,1.69,65
Anastasija Khmelnytska,female,1.71,56
Anastasiya Mikhalenka,female,1.62,67
Anastasiya Prokopenko,female,1.63,57
Anastasiya Puzakova,female,1.61,45
Anastasiya Savchuk,female,1.77,60
Anastasiya Serdyukova,female,1.70,49
Anastasiya Spas,female,1.78,68
Anastasiya Tulapina,female,1.67,54
Anastasiya Tyurina,female,1.65,50
Anastasiya Verameyenka,female,1.92,82
Anastasiya Voznyak,female,1.69,49
Anastassiya Pilipenko,female,1.74,55
Anastassya Kudinova,female,1.76,60
Anatolii Herey,male,1.86,75
Ancuta Bobocel,female,1.67,49
Andela Bulatovic,female,1.75,67
Andelo Setka,male,1.86,87
Ander Elosegi,male,1.86,80
Anders Dahl,male,1.80,80
Anders Lie Nielsen,male,1.86,74
Anders Pedersen,male,,
Anders Weiss,male,1.96,92
Anderson Oliveira,male,1.69,64
Andile Dlamini,female,1.69,55
Andile Fikizolo,male,1.75,69
Andjelko Risticevic,male,1.91,78
Andranik Karapetyan,male,1.80,77
Andras Parti,male,1.74,67
Andras Redli,male,1.93,82
Andre,male,1.71,68
Andre Breitbarth,male,1.91,125
Andre Fernando S. Martins Cardoso,male,1.68,57
Andre Link,male,1.74,80
Andre Matias,male,1.80,76
Andre Patrocinio,male,1.73,74
Andre Pereira,male,1.85,84
Andre Sa,male,1.80,75
Andre Silva,male,1.70,80
Andre Soares,male,1.94,92
Andre de Grasse,male,1.76,70
Andrea Arsovic,female,1.65,61
Andrea Baldini,male,1.75,70
Andrea Brewster,female,1.63,62
Andrea Carolina Olaya Gutierrez,female,1.76,75
Andrea Cassara,male,1.93,93
Andrea Cedron,female,1.69,62
Andrea Chiarabini,male,1.79,79
Andrea D'Arrigo,male,1.94,85
Andrea Deelstra,female,1.64,46
Andrea Fondelli,male,1.90,96
Andrea Geubelle,female,1.63,58
